,0,1,2,3,4,5,6
0,(0.142791748046875+0j),(-0.06243896484375+0j),(0.087127685546875+0j),(3.0517578125e-05+0j),(0.05596923828125+0j),(0.10540771484375+0j),(-0.010589599609375+0j)
1,(-0.1422119140625+0j),(0.32708740234375+0j),(-0.119781494140625+0j),(0.0223388671875+0j),(-0.125640869140625+0j),(-0.126617431640625+0j),(0.016815185546875-0.05072021484375j)
2,(0.15618896484375+0j),(-0.1075439453125+0j),(0.06732177734375+0j),(0.089630126953125+0j),(0.15484619140625+0j),(-0.0494384765625+0j),(-0.030426025390625+0.011932373046875j)
3,(-0.587799072265625+0j),(-0.244903564453125+0j),(-0.206939697265625+0j),(-0.23663330078125+0j),(-0.12762451171875+0j),-0.0009765625j,(0.01678466796875-0.02154541015625j)
4,(0.62664794921875+0j),(0.249359130859375+0j),(0.26824951171875+0j),(0.1119384765625+0j),(-0.055938720703125+0j),(-0.0279541015625+0.0325927734375j),(0.00726318359375-0.0111083984375j)
5,(0.647186279296875+0j),(-0.111419677734375+0j),(-0.168304443359375+0j),(-0.273651123046875+0j),(0.104644775390625-0.104644775390625j),(0.090850830078125-0.013763427734375j),(-0.017547607421875+0.064849853515625j)
6,(0.30694580078125+0j),(0.238006591796875+0j),(0.0732421875+0j),(0.220062255859375+0j),0.065216064453125j,(-0.0279541015625-0.0325927734375j),(-0.018463134765625-0.1068115234375j)
7,(-0.679534912109375+0j),(0.004302978515625+0j),(-0.06561279296875+0j),(-0.01861572265625+0j),(0.07708740234375+0.07708740234375j),(-0.090850830078125-0.013763427734375j),(-0.057830810546875-0.035858154296875j)
8,(0.041351318359375+0j),(-0.322906494140625+0j),(-0.087066650390625+0j),(0.08709716796875+0j),(0.043548583984375-0.078125j),(0.04376220703125-0.0091552734375j),(0.03143310546875+0.0093994140625j)
9,(-0.344451904296875+0j),(-0.447906494140625+0j),(0.164459228515625+0j),(-0.13128662109375+0.05438232421875j),(-0.085784912109375-0.021453857421875j),(-0.029205322265625-0.013092041015625j),(-0.088165283203125-0.01312255859375j)
10,(-0.5+0j),(-0.337127685546875+0j),(0.1119384765625+0j),(-0.015777587890625+0.015777587890625j),(0.04400634765625+0.059783935546875j),(-0.000213623046875-0.068939208984375j),(0.120361328125+0.038909912109375j)
11,(0.9056396484375+0j),(-0.01025390625+0j),(-0.266357421875+0j),(0.0113525390625-0.027435302734375j),(0.027374267578125-0.004730224609375j),(-0.00836181640625+0.05657958984375j),(0.077880859375+0.00384521484375j)
12,(0.99310302734375+0j),(0.493133544921875+0j),(-0.044342041015625+0j),-0.156280517578125j,(0.043548583984375+0.078125j),(-0.000213623046875+0.068939208984375j),(0.004058837890625+0.062744140625j)
13,(-0.910888671875+0j),(-0.137451171875+0j),(-0.378997802734375+0j),(-0.040313720703125-0.097320556640625j),(0.021453857421875+0.085784912109375j),(0.00836181640625+0.05657958984375j),(0.114044189453125+0.016143798828125j)
14,(0.7203369140625+0j),(0.51806640625+0j),(0.36688232421875+0j),(0.10382080078125+0.10382080078125j),(-0.04400634765625+0.059783935546875j),(0.04376220703125+0.0091552734375j),(-0.068115234375-0.015777587890625j)
15,(0.206390380859375+0j),(0.13665771484375+0j),(0.02838134765625+0j),(0.043426513671875+0.017974853515625j),(-0.004730224609375+0.027374267578125j),(0.029205322265625-0.013092041015625j),(0.00494384765625+0.039215087890625j)
16,(-0.236785888671875+0j),(0.236724853515625+0j),(-0.149566650390625+0j),(-0.07476806640625+0.117919921875j),(-0.135711669921875-0.032684326171875j),(-0.076141357421875+0.017608642578125j),(-0.02471923828125-0.00048828125j)
17,(-0.432769775390625+0j),(-0.566680908203125+0j),(0.438262939453125-0.087158203125j),(0.278839111328125+0.2567138671875j),(0.09710693359375+0.082977294921875j),(0.0152587890625+0.00628662109375j),(0.029205322265625-0.037017822265625j)
18,(0.34991455078125+0j),(0.2421875+0j),(-0.16156005859375+0.06689453125j),(0.005126953125+0.240875244140625j),(-0.0166015625+0.06793212890625j),(-0.059539794921875-0.05029296875j),(0.008544921875-0.066070556640625j)
19,(-0.086334228515625+0j),(-0.168975830078125+0j),(-0.03155517578125+0.021087646484375j),(-0.0869140625-0.095916748046875j),(-0.06658935546875-0.07037353515625j),(0.07666015625-0.08184814453125j),(-0.02789306640625-0.05963134765625j)
20,(0.371734619140625+0j),(0.28717041015625+0j),(-0.01336669921875+0.01336669921875j),(-0.196685791015625-0.183319091796875j),(0.060943603515625+0.150604248046875j),(0.116943359375+0.064422607421875j),(-0.0042724609375-0.00616455078125j)
21,(0.323699951171875+0j),(-0.2252197265625+0j),(0.0316162109375-0.04730224609375j),(-0.0845947265625-0.090728759765625j),(0.251312255859375-0.005645751953125j),(0.123809814453125+0.013397216796875j),(-0.01202392578125+0.2066650390625j)
22,(-0.734039306640625+0j),(-0.09149169921875+0j),(0.063018798828125-0.152191162109375j),(-0.038330078125-0.105010986328125j),(0.172943115234375-0.021728515625j),(-0.055999755859375+0.086151123046875j),(-0.003448486328125-0.0255126953125j)
23,(0.535675048828125+0j),(-0.13555908203125+0j),(0.013641357421875-0.068572998046875j),(-0.0462646484375-0.044830322265625j),(-0.003692626953125+0.032440185546875j),(-0.01904296875-0.12750244140625j),(0.025421142578125+0.015533447265625j)
24,(0.964813232421875+0j),(0.148773193359375+0j),0.23583984375j,(-0.07476806640625-0.117919921875j),(0.060943603515625-0.150604248046875j),(-0.05596923828125-0.086151123046875j),(-0.05938720703125-0.023162841796875j)
25,(0.93878173828125+0j),(0.776824951171875+0j),(0.11944580078125+0.6005859375j),(0.01568603515625-0.378662109375j),(0.00567626953125-0.251312255859375j),(0.01904296875-0.12750244140625j),(-0.00445556640625+0.0135498046875j)
26,(0.226654052734375+0j),(0.561004638671875+0j),(0.17181396484375+0.41485595703125j),(-0.240875244140625-0.005157470703125j),(-0.17291259765625-0.021728515625j),(0.116912841796875-0.064422607421875j),(-0.037506103515625-0.020660400390625j)
27,(-0.911468505859375+0j),(-0.522491455078125+0j),(-0.14227294921875-0.212921142578125j),(0.1292724609375-0.006378173828125j),(0.032440185546875-0.003692626953125j),(-0.123809814453125+0.01336669921875j),(0.027557373046875+0.07244873046875j)
28,(-0.99188232421875+0j),(-0.58184814453125+0j),(-0.380035400390625-0.380035400390625j),(0.196685791015625-0.183319091796875j),(-0.135711669921875+0.032684326171875j),(-0.0595703125+0.05029296875j),(0.036468505859375-0.001953125j)
29,(-0.7320556640625+0j),(-0.62054443359375+0j),(-0.200836181640625-0.134185791015625j),(-0.00433349609375-0.12396240234375j),(-0.082977294921875-0.097137451171875j),(-0.07666015625-0.08184814453125j),(-0.04766845703125+0.034423828125j)
30,(0.88201904296875+0j),(0.2156982421875+0j),(-0.139678955078125-0.057861328125j),(-0.10498046875-0.038330078125j),(0.016571044921875+0.06793212890625j),(-0.076141357421875-0.017608642578125j),(-0.045684814453125-0.005645751953125j)
31,(-0.394287109375+0j),(-0.07989501953125+0j),(-0.106201171875-0.0211181640625j),(-0.06439208984375-0.001007080078125j),(-0.07037353515625-0.06658935546875j),(-0.0152587890625+0.00628662109375j),(0.045501708984375-0.015899658203125j)
32,(-0.2677001953125+0j),(0.205230712890625+0j),(0.10260009765625+0.23675537109375j),(-0.028564453125-0.09027099609375j),(0.09649658203125-0.111053466796875j),(0.06231689453125-0.0347900390625j),(0.115997314453125+0j)
33,(0.79638671875+0j),(-0.467041015625+0.04595947265625j),(-0.240081787109375-0.04364013671875j),(-0.134918212890625-0.067474365234375j),(-0.030914306640625-0.042388916015625j),(-0.0286865234375-0.066650390625j),(0.045501708984375+0.01593017578125j)
34,(-0.37127685546875+0j),(0.2586669921875-0.05145263671875j),(0.118804931640625-0.07855224609375j),(0.10626220703125+0.041015625j),(0.02813720703125+0.04144287109375j),(0.0341796875-0.07623291015625j),(-0.045684814453125+0.005645751953125j)
35,(0.09796142578125+0j),(-0.328094482421875+0.099517822265625j),(-0.176025390625+0.010223388671875j),(0.10565185546875-0.150970458984375j),(-0.0264892578125-0.0909423828125j),(0.024261474609375+0.002197265625j),(-0.04766845703125-0.034423828125j)
36,(-0.1279296875+0j),(0.348541259765625-0.14434814453125j),(0.1580810546875-0.111236572265625j),(0.2215576171875-0.1318359375j),(-0.12506103515625+0.020782470703125j),(-0.062744140625-0.028656005859375j),(0.036468505859375+0.001953125j)
37,(-0.870025634765625+0j),(0.66900634765625-0.357574462890625j),(0.205108642578125-0.42083740234375j),(0.073089599609375-0.017303466796875j),(-0.091278076171875+0.055816650390625j),(-0.11358642578125+0.002410888671875j),(0.02752685546875-0.072418212890625j)
38,(0.169097900390625+0j),(0.057281494140625-0.03826904296875j),(0.20709228515625+0.247955322265625j),(-0.049957275390625+0.0418701171875j),(-0.00042724609375-0.078094482421875j),(-0.06231689453125+0.0494384765625j),(-0.037506103515625+0.020660400390625j)
39,(0.688140869140625+0j),(-0.52862548828125+0.43377685546875j),(-0.477203369140625-0.04254150390625j),(-0.158660888671875-0.030914306640625j),(-0.135894775390625-0.050994873046875j),(0.05340576171875-0.022308349609375j),(-0.00445556640625-0.0135498046875j)
40,(-0.687164306640625+0j),(0.257568359375-0.257568359375j),(-0.15972900390625-0.41729736328125j),(0.13116455078125+0.3270263671875j),(0.07586669921875+0.19525146484375j),(0.009979248046875-0.007568359375j),(-0.05938720703125+0.023162841796875j)
41,(-0.5513916015625+0j),(0.06561279296875-0.079986572265625j),(-0.02978515625-0.091339111328125j),(-0.0880126953125+0.062255859375j),(-0.255645751953125+0.04736328125j),(-0.045074462890625+0.137298583984375j),(0.025421142578125-0.015533447265625j)
42,(-0.17425537109375+0j),(-0.090484619140625+0.135406494140625j),(0.09375+0.16058349609375j),(-0.07568359375-0.0933837890625j),(-0.055877685546875-0.210418701171875j),(0.06585693359375+0.20281982421875j),(-0.00341796875+0.0255126953125j)
43,(-0.9261474609375+0j),(0.431732177734375-0.807708740234375j),(0.387359619140625-0.312164306640625j),(0.0411376953125+0.3218994140625j),(0.16546630859375+0.227264404296875j),(-0.089935302734375+0.210540771484375j),(-0.01202392578125-0.2066650390625j)
