,0,1,2,3,4,5,6
0,(0.6888427734375+0j),(0.10491943359375+0j),(0.126617431640625+0j),(-0.17193603515625+0j),(-0.0914306640625+0j),(0.1270751953125+0j),(0.14581298828125+0j)
1,(0.515899658203125+0j),(0.562957763671875+0j),(0.756622314453125+0j),(0.310546875+0j),(0.278594970703125+0j),(0.164581298828125+0j),(0.005859375-0.065887451171875j)
2,(-0.158843994140625+0j),(-0.03070068359375+0j),(0.29132080078125+0j),(0.374755859375+0j),(0.3455810546875+0j),(-0.218505859375+0j),(0.009735107421875+0.0472412109375j)
3,(-0.482177734375+0j),(-0.72705078125+0j),(-0.188446044921875+0j),(-0.11749267578125+0j),(0.05059814453125+0j),-0.113983154296875j,(0.02911376953125+0.040985107421875j)
4,(0.022552490234375+0j),(0.230987548828125+0j),(-0.189208984375+0j),(-0.010955810546875+0j),(-0.080474853515625+0j),(-0.04022216796875-0.01458740234375j),(0.067718505859375+0.032928466796875j)
5,(-0.19012451171875+0j),(-0.19622802734375+0j),(-0.07318115234375+0j),(0.246673583984375+0j),(0.0225830078125-0.0225830078125j),(0.070709228515625+0.048126220703125j),(-0.019378662109375+0.012420654296875j)
6,(0.567596435546875+0j),(0.608642578125+0j),(0.5076904296875+0j),(0.31640625+0j),-0.0291748046875j,(-0.04022216796875+0.01458740234375j),(-0.004638671875+0.09539794921875j)
7,(-0.39337158203125+0j),(-0.028533935546875+0j),(0.29412841796875+0j),(0.21868896484375+0j),(0.118865966796875+0.118865966796875j),(-0.070709228515625+0.048126220703125j),(0.037628173828125-0.03900146484375j)
8,(-0.04681396484375+0j),(-0.522247314453125+0j),(-0.47052001953125+0j),(0.298553466796875+0j),(0.149261474609375+0.089111328125j),(0.02606201171875+0.025482177734375j),(0.015228271484375+0.016754150390625j)
9,(0.166778564453125+0j),(0.07696533203125+0j),(-0.135528564453125+0j),(0.412109375-0.170684814453125j),(0.267242431640625+0.062408447265625j),(0.109405517578125+0.040374755859375j),(0.04571533203125-0.018707275390625j)
10,(0.81622314453125+0j),(0.77569580078125+0j),(0.45819091796875+0j),(-0.058990478515625+0.058990478515625j),(-0.09710693359375-0.038116455078125j),(0.1231689453125+0.0635986328125j),(-0.0426025390625+0.060394287109375j)
11,(0.009368896484375+0j),(-0.25140380859375+0j),(-0.046539306640625+0j),(-0.02716064453125+0.0655517578125j),(-0.048431396484375+0.018341064453125j),(0.02203369140625-0.1578369140625j),(-0.001953125+0.03961181640625j)
12,(-0.436309814453125+0j),(-0.3929443359375+0j),(0.167266845703125+0j),0.17822265625j,(0.149261474609375-0.089111328125j),(0.1231689453125-0.0635986328125j),(0.050567626953125-0.1107177734375j)
13,(0.5115966796875+0j),(0.626251220703125+0j),(0.566558837890625+0j),(0.12237548828125+0.295501708984375j),(-0.0623779296875-0.26727294921875j),(-0.022003173828125-0.1578369140625j),(0.011932373046875+0.02545166015625j)
